Monthly_Salary,Age,Overtime_Hours,Promotions,Employee_Satisfaction_Score,Years_At_Company,Job_Title_enc,Risigned_enc,Work_Hours_Per_Week,Training_Hours,Performance_Score,High_Performance,High_Salary,propensity_score
5250.0,53,25,1,4.09,0,6,0,49,76,5,1,0,0.4121091947933247
4900.0,55,19,2,1.77,0,6,0,59,60,4,1,0,0.41510313292789597
5250.0,60,15,0,2.3,2,6,0,56,79,5,1,0,0.41526617691004825
4550.0,30,4,2,2.8,0,6,0,58,46,3,0,0,0.41602563287864835
3850.0,44,20,1,4.9,5,6,0,55,81,1,0,0,0.41677572225490866
3850.0,50,17,2,1.4,1,6,0,58,75,1,0,0,0.41690959406509326
5250.0,29,18,2,3.64,5,6,0,57,47,5,1,0,0.4218807557745685
3850.0,49,15,2,2.56,2,6,0,54,81,1,0,0,0.42270195720183124
5250.0,42,3,1,2.53,1,6,0,53,54,5,1,0,0.42442877851648525
4900.0,24,26,1,2.88,7,6,0,45,96,4,1,0,0.42503558796582747
4550.0,30,5,0,3.46,6,6,0,54,56,3,0,0,0.4254481316844159
4550.0,50,3,0,1.79,2,6,0,58,20,3,0,0,0.4255261800257995
5250.0,41,16,0,1.77,7,6,0,54,76,5,1,0,0.4259432041197483
5250.0,30,15,0,3.67,6,6,0,52,27,5,1,0,0.42610108514209744
3850.0,58,20,0,4.7,7,6,0,58,34,1,0,0,0.42649545680451945
3850.0,27,11,2,3.7,1,6,0,44,58,1,0,0,0.42768733790077357
3850.0,44,28,1,4.08,0,6,0,36,42,1,0,0,0.4279615627837742
5250.0,24,11,2,2.9,5,6,0,59,12,5,1,0,0.42798225993278316
4200.0,38,1,0,1.93,1,6,0,41,99,2,0,0,0.42820217049385295
5250.0,32,24,0,1.81,8,6,0,53,29,5,1,0,0.4290354288431173
3850.0,43,23,0,2.01,4,6,0,45,45,1,0,0,0.42913799252798207
4900.0,24,10,0,1.6,4,6,0,44,60,4,1,0,0.4292130097616753
4200.0,24,3,0,3.39,0,6,1,41,75,2,0,0,0.4309299511836918
4200.0,24,14,2,2.0,3,6,0,48,42,2,0,0,0.4309391853212597
4200.0,41,13,2,4.7,8,6,0,57,81,2,0,0,0.4312183486404995
