Monthly_Salary,Age,Overtime_Hours,Promotions,Employee_Satisfaction_Score,Years_At_Company,Job_Title_enc,Risigned_enc,Work_Hours_Per_Week,Training_Hours,Performance_Score,High_Performance,High_Salary,propensity_score
6750.0,35,24,0,3.1,2,5,0,59,78,5,1,1,0.4220377861830074
6750.0,28,23,2,4.25,2,5,0,60,89,5,1,1,0.42509951050858913
6750.0,28,28,0,1.82,4,5,0,60,69,5,1,1,0.4251680479190471
6750.0,29,24,0,3.85,0,5,0,51,55,5,1,1,0.4259453777535967
6750.0,25,21,1,2.78,2,5,0,56,95,5,1,1,0.4266357513503258
6750.0,24,25,0,2.18,1,5,0,52,62,5,1,1,0.4268988622768216
6750.0,22,19,0,4.53,1,5,0,49,46,5,1,1,0.431815952471713
6750.0,27,18,2,4.58,2,5,0,58,68,5,1,1,0.4326371183553766
6750.0,22,9,0,1.16,2,5,0,55,75,5,1,1,0.4343605789404152
6750.0,27,11,0,4.4,0,5,0,46,75,5,1,1,0.43496744464675663
6750.0,24,15,0,3.07,3,5,0,59,15,5,1,1,0.4354370043665365
6750.0,43,27,0,1.25,4,5,0,54,97,5,1,1,0.43549760159577316
6750.0,55,28,2,4.71,4,5,0,60,99,5,1,1,0.43591452116098167
6750.0,51,13,2,3.7,1,5,0,60,98,5,1,1,0.4360916484022363
6750.0,42,17,0,4.55,1,5,0,54,31,5,1,1,0.4364947162354492
6750.0,43,3,0,3.07,0,5,0,56,60,5,1,1,0.437679683647383
6750.0,33,12,0,4.06,1,5,0,45,98,5,1,1,0.43794068724451435
6750.0,38,12,0,2.23,4,5,0,59,74,5,1,1,0.4379479358136766
6750.0,41,15,1,4.91,1,5,0,51,79,5,1,1,0.4381808455240894
6750.0,36,29,0,2.99,6,5,0,51,93,5,1,1,0.4390261330331097
6750.0,41,29,2,4.24,3,5,0,60,24,5,1,1,0.43910241496493757
6750.0,24,8,0,2.39,0,5,0,54,7,5,1,1,0.43915281212671914
6750.0,59,20,0,3.84,1,5,0,55,32,5,1,1,0.4409194575069237
8400.0,31,23,0,3.47,1,4,0,60,89,4,1,1,0.4409286538503179
6750.0,42,13,0,4.55,1,5,0,50,48,5,1,1,0.4412146238701989
6750.0,53,28,2,3.97,4,5,0,60,66,5,1,1,0.44130535137580335
6750.0,42,11,0,2.42,4,5,0,58,70,5,1,1,0.4415471486758243
6750.0,45,25,1,4.53,2,5,0,50,59,5,1,1,0.44167685427205416
