Monthly_Salary,Overtime_Hours,Risigned_enc,Work_Hours_Per_Week,Hire_Date_enc,Remote_Work_Frequency,Team_Size,Age,Performance_Score,High_Performance,High_Salary,propensity_score
5600.0,27,1,44,1643,0,5,60,4,1,0,0.48990526722573585
5600.0,26,1,38,1436,0,2,56,4,1,0,0.4903922643045473
4800.0,28,1,42,3294,0,18,58,2,0,0,0.49283817862435686
5600.0,23,1,35,1959,0,7,53,4,1,0,0.49317068592802327
6000.0,22,1,35,1195,0,3,52,5,1,0,0.4932252794451262
4900.0,26,1,50,1163,0,7,57,4,1,0,0.49341256120397736
4800.0,28,1,31,784,0,14,51,2,0,0,0.49410929945460463
6000.0,13,1,39,1618,0,7,58,5,1,0,0.494275545545011
4950.0,23,1,40,2668,25,4,59,1,0,0,0.49438812003426535
4550.0,28,0,31,1658,0,1,57,3,0,0,0.49447988551043204
6000.0,12,1,30,1383,0,4,53,5,1,0,0.4947097185099431
4800.0,25,1,55,1111,0,10,58,2,0,0,0.4948550782766373
4800.0,3,1,38,2147,0,4,60,2,0,0,0.4949391728275954
6300.0,27,1,37,198,0,7,49,4,1,0,0.4949977072042064
4550.0,19,1,41,2100,0,4,52,3,0,0,0.4951081594892007
5250.0,1,1,30,104,0,6,60,5,1,0,0.4951341391303334
6000.0,28,0,38,3155,0,7,60,2,0,0,0.49525216869690136
6000.0,18,1,30,3225,25,9,58,2,0,0,0.4954104028826828
5500.0,3,1,40,2239,0,5,60,1,0,0,0.4955210412865989
5850.0,11,1,30,2795,0,13,55,3,0,0,0.49569644024958714
4550.0,6,1,37,1969,0,7,58,3,0,0,0.4957019564179281
5250.0,11,1,31,1201,25,1,59,5,1,0,0.49574302756267075
4400.0,8,1,36,1196,0,1,54,1,0,0,0.49576162643755095
5400.0,24,1,39,2338,25,12,59,2,0,0,0.4959535905375425
4400.0,20,1,59,418,0,3,57,1,0,0,0.4960026210055077
5600.0,29,1,33,2650,25,13,54,4,1,0,0.49609095382309154
5600.0,29,0,32,1382,0,14,60,4,1,0,0.49611212647694813
4800.0,29,0,43,1711,0,2,58,2,0,0,0.49616393347021676
4550.0,24,1,58,1860,0,1,52,3,0,0,0.49625983087984243
4200.0,22,0,31,1249,0,8,60,2,0,0,0.49644105085325363
