Monthly_Salary,Risigned_enc,Hire_Date_enc,Remote_Work_Frequency,Sick_Days,Overtime_Hours,Gender_enc,Promotions,Team_Size,Work_Hours_Per_Week,Age,Department_enc,Performance_Score,High_Performance,High_Salary,propensity_score
5250.0,0,3304,50,13,3,1,0,18,33,22,8,5,1,0,0.4659267083104959
5850.0,1,3052,75,13,0,0,1,19,35,29,6,3,0,0,0.4671373749491355
6000.0,1,3108,50,14,7,0,1,17,53,23,8,2,0,0,0.4683965267373415
6000.0,0,1593,75,5,0,0,0,18,37,25,8,2,0,0,0.47000525889359984
5500.0,1,2709,50,14,6,0,0,16,32,22,4,1,0,0,0.47225011171659825
4950.0,0,2564,25,9,2,0,0,17,33,27,7,1,0,0,0.47253740677368605
5400.0,1,1147,50,7,2,0,0,16,34,26,7,2,0,0,0.4725996160069088
4400.0,0,3345,25,12,4,0,1,18,42,30,8,1,0,0,0.4733897163705238
4950.0,0,2010,100,4,0,0,0,17,50,29,8,1,0,0,0.4735143956842934
4400.0,0,2331,50,7,2,1,0,19,38,26,7,1,0,0,0.4741258992887403
5600.0,0,2972,100,2,0,1,0,19,31,28,6,4,1,0,0.47433868888597347
5600.0,0,2989,75,1,12,0,0,17,38,24,8,4,1,0,0.4749444770253717
6000.0,0,2129,100,9,0,0,2,18,46,23,8,2,0,0,0.47519058230314926
4950.0,1,228,0,13,4,1,0,16,41,22,8,1,0,0,0.47540650804602086
5250.0,0,3288,25,7,0,1,0,15,48,26,8,5,1,0,0.4760428986150705
6050.0,1,1675,50,13,5,0,0,18,33,45,7,1,0,0,0.4762199343684153
4900.0,0,770,100,4,1,0,1,19,35,23,7,4,1,0,0.4765490769377912
5500.0,0,3182,50,4,0,0,0,19,53,39,7,1,0,0,0.4766273050040361
6000.0,0,973,100,6,1,0,0,18,37,33,7,5,1,0,0.47717180863676706
5600.0,0,2450,0,6,4,1,0,19,35,23,6,4,1,0,0.47738785390889
4900.0,0,2573,100,9,0,0,1,15,50,25,7,4,1,0,0.4776734251255172
6050.0,1,857,0,12,7,0,1,16,51,22,8,1,0,0,0.4777214794710558
5500.0,0,1912,25,13,1,1,0,14,40,26,8,1,0,0,0.4781505902713085
4800.0,0,1688,50,10,11,0,1,18,44,23,8,2,0,0,0.4782904181384602
5500.0,0,2427,75,3,0,0,0,19,42,37,6,1,0,0,0.47829950183701203
4950.0,1,746,50,13,4,1,0,19,50,41,8,1,0,0,0.4783333676031945
