Monthly_Salary,Risigned_enc,Hire_Date_enc,Remote_Work_Frequency,Sick_Days,Overtime_Hours,Gender_enc,Promotions,Team_Size,Work_Hours_Per_Week,Age,Department_enc,Performance_Score,High_Performance,High_Salary,propensity_score
7800.0,0,3332,50,7,2,0,0,17,41,26,8,3,0,1,0.4686587404604501
8400.0,1,3359,50,5,16,0,0,19,32,24,7,4,1,1,0.46879842296392754
7150.0,0,3193,75,13,10,1,0,19,35,26,8,3,0,1,0.46961007312876657
7800.0,1,2995,100,9,2,0,1,19,51,37,8,3,0,1,0.4703366393035243
7200.0,1,3238,25,11,2,1,0,15,51,25,8,2,0,1,0.4704279003157021
6600.0,1,2573,50,6,6,1,0,19,46,28,8,1,0,1,0.4705601883535343
7200.0,1,964,100,13,3,0,0,18,39,29,6,2,0,1,0.47095469450888683
6600.0,0,1650,50,9,0,1,0,18,38,23,8,2,0,1,0.47177023234334076
7200.0,0,1109,100,13,0,0,0,15,46,27,8,2,0,1,0.4735423803218961
9000.0,0,2386,100,13,1,0,0,19,36,35,5,5,1,1,0.47445236793703105
8400.0,0,3108,50,9,7,0,1,19,43,26,7,4,1,1,0.4751066973922225
8400.0,1,3252,50,0,5,0,0,18,39,46,8,4,1,1,0.4763621685016534
6600.0,1,3315,25,1,8,0,1,16,36,29,8,2,0,1,0.47687322810392874
6600.0,0,2870,0,7,14,0,0,18,35,25,7,1,0,1,0.47715669495737273
7800.0,0,3366,75,10,0,0,0,15,39,45,8,3,0,1,0.4772804924909974
7000.0,0,2895,100,13,10,1,0,15,50,26,8,4,1,1,0.47731018851859547
6500.0,0,3326,25,11,17,0,0,19,54,25,6,3,0,1,0.4782161430120474
7500.0,0,3318,75,13,1,1,0,18,39,40,6,5,1,1,0.47825820219373955
7700.0,1,2887,25,1,5,0,0,18,42,22,3,4,1,1,0.4783907020613169
7800.0,0,2473,75,12,2,0,1,15,43,32,8,3,0,1,0.47858436231012774
7200.0,0,2787,75,14,13,0,0,16,36,24,5,2,0,1,0.47872872953118445
7000.0,0,2126,50,11,0,0,1,15,37,22,6,4,1,1,0.4789299553515907
7200.0,0,3025,75,0,12,0,1,19,58,23,8,2,0,1,0.47894138813999054
7200.0,0,1257,100,12,17,0,1,19,39,26,8,2,0,1,0.47931287173946896
7700.0,1,2823,75,13,0,0,2,16,46,37,7,4,1,1,0.4794899047852681
6500.0,1,903,0,14,1,0,2,18,58,24,7,3,0,1,0.47959517190785933
8400.0,0,2203,50,10,0,0,0,19,43,28,3,4,1,1,0.4796219674190497
6750.0,1,813,100,11,15,0,0,13,30,30,8,5,1,1,0.4800044884135382
7500.0,0,1352,100,5,0,1,1,19,46,31,8,5,1,1,0.4805911595825978
6600.0,0,2870,100,9,5,1,1,19,60,26,6,1,0,1,0.4813293967455046
7200.0,0,981,0,0,10,0,0,19,43,22,7,2,0,1,0.4814446752615094
7500.0,1,3293,75,9,5,0,1,18,59,47,7,5,1,1,0.4814855394763812
6600.0,1,3041,50,10,6,0,0,13,35,25,3,1,0,1,0.4816018825498146
