Monthly_Salary,Overtime_Hours,Risigned_enc,Work_Hours_Per_Week,Hire_Date_enc,Remote_Work_Frequency,Team_Size,Age,Performance_Score,High_Performance,High_Salary,propensity_score
9000.0,28,1,35,2937,0,5,57,5,1,1,0.4890313092036046
6600.0,21,1,33,2423,0,5,60,1,0,1,0.4892489245768219
7150.0,27,1,32,1062,0,8,54,3,0,1,0.49155393813865605
7200.0,28,1,42,2689,0,18,59,2,0,1,0.4925369792246248
6600.0,16,1,36,2714,0,10,58,2,0,1,0.4932667575418669
6600.0,16,1,31,2861,0,8,54,1,0,1,0.49379283382088207
6600.0,23,1,38,941,0,2,51,1,0,1,0.4938469490951836
8250.0,29,1,52,1901,0,18,60,5,1,1,0.493879510468018
6600.0,11,1,30,46,0,3,55,2,0,1,0.4941812150952127
7150.0,24,1,31,2531,0,7,48,3,0,1,0.49444817224372595
8400.0,23,1,32,1888,25,11,59,4,1,1,0.49483057174431505
8400.0,26,1,30,1772,0,13,49,4,1,1,0.4949033555586037
7800.0,29,0,31,2220,0,8,58,3,0,1,0.4952094925924503
6600.0,26,1,38,1371,0,6,48,1,0,1,0.49533556059494843
8250.0,23,0,30,2433,0,3,58,5,1,1,0.4953941389016104
7200.0,26,1,32,1470,25,4,53,2,0,1,0.49544028737080026
9000.0,29,0,43,2253,0,2,59,5,1,1,0.49549441398892774
7700.0,25,1,55,1079,0,9,56,4,1,1,0.4956165348605491
8250.0,0,1,41,2894,0,3,60,5,1,1,0.49583587028970716
8250.0,28,0,30,2692,0,7,56,5,1,1,0.49589629025023263
7000.0,26,1,47,3175,0,10,51,4,1,1,0.4959013406255759
7000.0,23,0,36,128,0,1,59,4,1,1,0.4962740293826034
6500.0,8,1,40,3309,0,3,54,3,0,1,0.49630603213998203
6500.0,14,1,31,1804,0,3,48,3,0,1,0.4964520881522327
9000.0,1,1,37,2179,0,9,60,5,1,1,0.49648797485814056
7150.0,21,0,37,3080,0,1,58,3,0,1,0.49655345872687556
7200.0,25,0,33,149,0,5,58,2,0,1,0.4966185764208441
7200.0,29,1,48,1950,0,8,48,2,0,1,0.49666848116656503
9000.0,24,0,36,1749,0,2,57,5,1,1,0.4967113839739874
8400.0,27,0,34,3080,0,15,60,4,1,1,0.49672430483752694
7200.0,22,0,33,3166,0,1,55,2,0,1,0.49699611866394916
8400.0,11,1,37,1162,0,13,56,4,1,1,0.4970259856869566
7800.0,28,0,41,2978,0,12,60,3,0,1,0.497065419028722
7150.0,26,0,38,1503,0,2,56,3,0,1,0.49711156728085304
7150.0,29,1,52,2679,0,16,52,3,0,1,0.4971140405713322
8250.0,20,1,51,1503,0,3,51,5,1,1,0.4971407348230476
9000.0,3,1,30,2432,0,10,55,5,1,1,0.497277397673947
7800.0,11,1,35,815,25,2,58,3,0,1,0.49734554089463345
